Date,Open,High,Low,Close,Volume,twitter_sentiment,news_sentiment
2011-11-28,6.514,6.798,6.396,6.66,9165000,0.4294000000000001,0.0
2011-12-05,6.706,7.0,5.922,6.208,36657500,0.22406190476190468,-0.0258
2011-12-12,6.088,6.186,5.596,5.6,23233500,0.22406190476190468,0.0
2011-12-19,5.618,5.7,5.206,5.58,25683000,0.22406190476190468,0.10115
2011-12-26,5.532,5.868,5.528,5.712,10903500,0.49393499999999996,0.2023
2012-01-02,5.788,5.9,5.282,5.382,17750000,0.33371666666666666,0.3644333333333334
2012-01-09,5.4,5.724,4.528,4.558,42354000,0.27445555555555556,0.0
2012-01-16,5.324,5.548,5.25,5.32,39102000,-0.2644666666666666,0.16735
2012-01-23,5.362,5.944,5.288,5.866,20416500,0.4271,0.1806
2012-01-30,5.898,6.266,5.706,6.23,18894000,0.29685000000000006,0.1806
2012-02-06,6.22,6.58,5.968,6.22,27243500,0.2842716666666667,0.033716666666666666
2012-02-13,6.31,6.994,6.18,6.994,46634500,0.31189999999999996,-0.016350000000000003
2012-02-20,6.974,6.994,6.5,6.75,22853500,-0.1823,0.0
2012-02-27,6.682,6.9,6.6,6.808,15037000,0.0,-0.1147
2012-03-05,6.87,7.062,6.524,6.948,17962000,0.0,0.26335
2012-03-12,6.938,7.318,6.92,7.064,25586500,0.28141249999999995,0.4215
2012-03-19,7.052,7.064,6.63,6.816,19414000,0.72815,-0.08910833333333334
2012-03-26,7.118,7.99,7.008,7.448,41587500,0.0,0.47155
2012-04-02,7.466,7.694,6.882,6.896,40589500,0.49761666666666676,0.2294
2012-04-09,6.82,6.896,6.402,6.718,31462000,0.6126833333333334,0.0
2012-04-16,6.682,6.746,6.306,6.632,23174500,0.460375,0.0
2012-04-23,6.572,6.726,6.2,6.668,16469000,0.0,0.36345
2012-04-30,6.654,6.878,6.28,6.366,18295000,0.2765041666666667,0.36345
2012-05-07,6.392,6.936,5.874,6.45,64903500,0.3781333333333334,0.5646666666666667
2012-05-14,6.384,6.426,5.366,5.512,34946000,-0.6597,0.0086
2012-05-21,5.516,6.268,5.424,5.962,34472000,0.22200694444444447,0.0086
2012-05-28,6.002,6.386,5.552,5.63,24808500,-0.0055,0.3818
2012-06-04,5.606,6.038,5.422,6.016,19724500,0.0,0.4215
2012-06-11,6.062,6.2,5.724,5.982,17840500,0.2201999999999999,0.4215
2012-06-18,5.988,6.9,5.9,6.758,52644000,0.05416666666666667,0.0
2012-06-25,6.788,6.824,6.124,6.258,35997500,0.0407833333333333,0.0
2012-07-02,6.27,6.36,6.038,6.198,21504500,0.13955,0.7808
